"BP279HSDD, BP279CSODD",077043G,
BH058P18,084885G,
"BP193ENVDD, BP193ENS23",111277C,
"BH096ESDD, BH096EEHDD",079786G,
BP192P23,110981J,
BP000P16,027119G,
BH000P24,116393C,
"""BH122CEH23/ BH122PSCDD""",116911H,
BH076P23,110994D,
"BH089MEH23, BH089BUSDD",111185G,
BH070P23,110991G,
BH080P23,110998M,
BH075P23,110993E,
BH073P23,110992F,
"BH091CNH23, BH091CSDD",110988B,
BH072,079618B,
"BH088CIH23, BH088BUSDD",111186F,
BH077P23,110995C,
BH079P23,110997A,
BH069P23,110990H,
"BH111ECH23, BH111BUSDD",111191J,
BH074,079774A,
"BH082AEH23, BH082BUSDD",111187E,
BH078P23,110996B,
"BH086AMH23, BH086BUSDD",111184H,
BH068P23,110989A,
BH126,O100714,
BH127,100706,
BP320P24,113709A,
BP320PEC24,113708B,
BP320PSE,116298B,
BP214P12,074978G,
BP309,080226G,
BP115P04,012348F,
BP115P26,012348F,
BP203P14,079976B,
BP295P16,077658K,
BP023P16,012347G,
BP094P23,110797J,
BP347,110798H,
BP354,113705E,
BP221,048667E,
BP221ACC,055813G,
BP220,048668D,
BH064,064712E,
BP335,103210M,
BP351,110718B,
BP346BLDD/BP346BBDD,110717C,
BP359BADD/BP359BCDD,115519B,
BP358BLDD/BP358BCDD,115520J,
BP352BADD,111275E,
BP360BLDD/BP360PCDD,116506K,
BP353BADD,111276D,
BP340P23,110801G,
BP355,114324K,
BP356,114320C,
BP348,110804D,
BP343,106623K,
BP344,106622M,
BH129,110987C,
BH130,116392D,
BP231P23,110985E,
BP121P20,O100707,
BH125,096092G,
BP117,006593K,
BP047,065131G,
BH049,049567A,
BH052,006591A,
BP201P16,088785A,
BP257,065130G,
BP250,060830J,
BH116P23,110978D,
BH120CY,115631B,
BP154P23,110984F,
BP326,O100710,
BP327,O100708,
BP328,100709,
BH113P24,113429J ,
BH112P24,113427M,
BH114P24,113362A,
"BP284ASA23, BP284BUSDD",111189C,
BP070P23,111188D,
BP345P23,111190K,
AD017,078871G,
AD016,074927G,
AD020,078836M,
AD006P24,113595F,
AD019P24,077364B,
AD022,078839G,
AD030,116398J,
AD026,079303K,
AD028,104983B,
AD007,061154K,
AD029,111279A,
AD023A,077041K,
AD023BN,077041K,
AD012P24,113597D,
C6174,110047C,
C6173,107884C,
C6172,107884C,
C6162,098561A,
C6182,114569M,
C6186,112017D,
C6187,112017D,
C6178,103390B,
C6188,114568A,
C6181,113126B,
,053516M,
,018594K,
FS022ADA,108492M,
FS022COM,108492M,
FS022SIT,108492M,
FS022SES,108492M,
FS022SHH,108492M,
FS022BUS,108492M,
